persona,story,id,cq,issues
Brendan,1_FindTraditionalMusic,CQ1,"If using a known tune as a query, search for similar tunes from other corpora based on
-	Geographic location of collection.
-	Melodic similarity between query and results.
-	Rhythmic similarity between query and results.","['incomplete', 'complex', 'hard']"
Brendan,1_FindTraditionalMusic,CQ3,"What collection/archive are results taken from?
-	Can a user filter between collections?",['to-split']
Brendan,1_FindTraditionalMusic,CQ4,"What is the provenance of any given result from this search? 
-	Can information on the collection/archive which the result belongs to be accessed from this search?
-	Can links be established and recorded between similar tunes?","['to-split', 'complex', 'hard']"
Paul,1_OrganComparison,CQ1,"Search organs with the possibility to combine search criteria, based on
- Location
    - City
    - Building/church name
- Organ builder
- Technical features, including, but not limited to:
    - Stops, and amount of stops
    - Number of keyboards
    - Range (klavieromvang)
    - Type of wind supply system
    - Pitch
    - Temperament
- Year of constructions
- Other people related to the organ (sculptor/carver, funder/donor)","['incomplete', 'complex', 'hard']"
Paul,1_OrganComparison,CQ5,When have changes been made to the organ? What were these changes? Who made these changes?,['to-split']
Paul,2_ResourceReliability,CQ6,Is XX fact reliable? What are the sources of XX fact?,['to-split']
Jorge,1_OrganizeMyLibrary,CQ1,"provide a digital space to represent and describe the concept of ""Opus"", and store digital scores related to an opus.",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ2,"organize collections and subcollections, based on clear concepts (e.g., genre, composer, period...) to gather Opuses",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ3,"provide nagivation, search and visualization tools in collections / opus",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ4,"in addition to standard metadata (e.g., composer), expose *features* extracted from  digital scores  (e.g., tonality, when relevant, number of parts, etc.)","['incomplete', 'hard']"
Jorge,1_OrganizeMyLibrary,CQ5,"Identify the dimensions and/or features that are relevant to support an on-the-fly reorganization of the digital library, whenever the standard organization does not meet the user's expectations","['incomplete', 'hard']"
Jorge,1_OrganizeMyLibrary,CQ6,"propose efficient and expressive search tools, that support a progressive exploration of relevant content from an initial need","['incomplete', 'hard']"
Jorge,4_LinkToSources,CQ1,"describe sources related to a music Opus, and link such sources with an Opus in the digital library",['incomplete']
Jorge,4_LinkToSources,CQ2,"propose means to refer to *fragments* of a Opus, eg., the first 10 measures, or part B of a movement",['incomplete']
Jorge,4_LinkToSources,CQ3,"define links at a level of granularity finer than the document itself. For instance associate a fragment in an Opus with the corresponding region in a scan of an external score/source (e.g., a PDF in Gallica).","['incomplete', 'hard']"
Jorge,2_FindSimilarScores,CQ1,"define similarity criterias based on metadata and features of musical works (e.g.,  period,  style, compatible instruments, difficuly...)","['incomplete', 'hard']"
Jorge,2_FindSimilarScores,CQ2,"determine the most relevant criterias, or combination of criterias,  to expand an initial search",['incomplete']
William,1_EuropeanFolkMusic,CQ7,"Providing a visualisation of relations between the relevant countries, compositions, composers and performers in the various collections and their changes over time","['incomplete', 'hard']"
William,1_EuropeanFolkMusic,CQ8,Provide overviews of the occurrences of search results across certain time periods or genres.,['incomplete']
Ortenz,1_MusicAndChildhood,CQ1,"CQ1. What is the difference between the ‘official’ perception of the role of music and how music is experienced?

 * What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events
 * What are the official sources? What are the sources produced by ordinary people?
 * What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation
 * What are the goals of the source?
 * What is the emotional response of music listeners/authors in both types of sources?","['to-split', 'complex', 'hard']"
