cq	persona
What tunes have similar geographic origin as tune X?	Brendan
What tunes are similar to tune X, given similarity measure Y?	Brendan
Given a set of tunes, from which collections are these tunes?	Brendan
Given a set of tunes, what tunes are from collection X?	Brendan
What are the metadata for collection X?	Brendan
Can I search for a musical content by applying filters (genre, historical period ...)?	Laurent
What types of resources can I find?	Laurent
Is the music resource X complete or incomplete?	Laurent
Is a dataset attached to resource X?	Laurent
Can I add resources as a user?	Laurent
How can I share what I find on the site?	Laurent
Can I find interesting materials without applying filters?	Andrea
What types of resources can I find?	Andrea
Is there a way of visualizing all the materials connected to my interests?	Andrea
Can I keep getting suggestions in real time?	Andrea
How can I share what I find on the site?	Andrea
How I personalize my navigation experience without knowing the filtering criteria or the materials' characteristics?	Andrea
Which are all organs at location X?	Paul
Which are all organs in city X?	Paul
Which are all organs near to geographic coordinates x, y?	Paul
Which are all organs that have stop X?	Paul
Which are all organs with playing aid X?	Paul
Which are all organs with more than X stops?	Paul
Which are all organs with more than X keyboards?	Paul
Which are all organs with manual range starting lower than X?	Paul
Which are all organs with manual range ending higher than X?	Paul
Which are all organs with pedal range starting lower than X?	Paul
Which are all organs with pedal range ending higher than X?	Paul
Which are all organs with wind system type X?	Paul
Which are all organs with temperament X?	Paul
Which are all organs with year of construction after X?	Paul
Which are all organs with year of construction before X?	Paul
Which are all organs built by organ builder X?	Paul
Which are all organs which has been maintained or restored by builder X?	Paul
Which are all organs that are linked to person X?	Paul
Which are all organs with more than X bellows?	Paul
Which are all organs with pitch heigher than X Hz?	Paul
Which are all organs with wind pressure higher than X mm?	Paul
Which are all organs with wind pressure lower than X mm?	Paul
Which are all organs with key action type X?	Paul
Which are all organs with stop action type X?	Paul
Which are all organs with pitch lower than X Hz?	Paul
Which are all organs with console location X?	Paul
Which are all organs based on search term X?	Paul
Who was the builder of organ X?	Paul
What is the current location of organ X?	Paul
What were previous locations of organ X?	Paul
When have changes been made to organ X?	Paul
What changes have been made to organ X?	Paul
Why was change X made to organ Y?	Paul
What is the current disposition of organ X?	Paul
What is the composition of stop X in organ Y?	Paul
Of which material is stop X made?	Paul
Of which material is the case of organ X made?	Paul
Which materials have been used to build organ X?	Paul
What historic dispositions are known for organ X?	Paul
What is the source for historic disposition X of organ Y?	Paul
What is the current pitch of organ X?	Paul
What is the current temperature of organ X?	Paul
What is the current console location of organ X?	Paul
What is the current wind system type of organ X?	Paul
What is the current wind pressure of organ X?	Paul
What are the characteristics of the case of organ X?	Paul
What are decorative elements of the case of organ X?	Paul
What are inscriptions on the case of organ X?	Paul
What are the dispositions of all organs made by organ builder X?	Paul
What are the sources for fact X?	Paul
Given organ X, what organs are similar according to similarity measure Y?	Paul
What literature exists about organ X?	Paul
What literature exists about organ builder X?	Paul
What sources are available regarding the sound of organ X?	Paul
Does organ X stil exist?	Paul
When was organ X deconstructed?	Paul
Why was organ X deconstructed?	Paul
Which parts of deconstructed organ X are still in existence?	Paul
Where are parts of deconstructed organ X currently located?	Paul
Which components of organ X have been reused from other (earlier) organs?	Paul
What is the origin of component X of organ Y?	Paul
Which are all organs that have components made by organ builder X?	Paul
What are the sources for fact X?	Paul
What is the rhythm of the bassline?	Anna
What is the rhythm of the electronic drum kit?	Anna
Where was the musical composition X performed? *(musical performance)*	Carolina
In which buildings was musical composition X performed? *(musical performance)*	Carolina
Where was the musical composition X performed for the first time? *(musical performance)*	Carolina
In which buildings was musical composition X performed for the first time? *(musical performance)*	Carolina
Which performers (musicians, singers) have performed musical composition X? *(musical performance)*	Carolina
Which performers (musicians, singers) have performed musical composition X for the first time? *(musical performance)*	Carolina
In which scores is there evidence of musical composition X? *(evidence)*	Carolina
In which historical documents is there evidence of musical composition X? *(evidence)*	Carolina
In which bibliographic references is there evidence of musical composition X? *(evidence)*	Carolina
In which historical documents is there evidence of reception of musical composition X? *(evidence)*	Carolina
In which bibliographic references is there evidence of reception of musical composition X? *(evidence)*	Carolina
Which is the medium of performance of musical composition X? *(musical composition)*	Carolina
Which was the first medium of performance of musical composition X? *(musical composition)*	Carolina
Which instruments are involved in musical composition X? *(musical composition)*	Carolina
Which voices are involved in musical composition X? *(musical composition)*	Carolina
In which tonality was written the musical composition X for the first time? *(musical composition)*	Carolina
Which is/are the composer(s) of the musical composition X? *(musical composition)*	Carolina
Who has spoken about the musical composition X? *(reception of musical composition)*	Carolina
Who has spoken about the musical performance X? *(reception of musical performance)*	Carolina
How was the musical composition X received? *(reception of musical composition)*	Carolina
How was the performance of musical composition X received? *(reception of musical performance)*	Carolina
When was a musical composition performed? *(musical performance)*	Carolina
Can we find relations between different artists and music?	Keith
Can we find music which has a non-obvious relation to some other music?	Keith
Can we visualize the relations between different media, different music etc?	Keith
Is there a digital space to represent and describe the concept of "Opus", and store digital scores related to an opus ?	Jorge
Is my collections and subcollections organisation based on clear concepts (e.g., genre, composer, period...) to gather Opuses ?	Jorge
Am I able to nagivate, search and visualize my collections and opus ?	Jorge
Can I examine *features* extracted from digital scores (e.g., tonality, when relevant, number of parts, etc.) ?	Jorge
Identify the dimensions and/or features that are relevant to support an on-the-fly reorganization of the digital library, whenever the standard organization does not meet the user's expectations	Jorge
Can I progressively explore the content of my library, adding criteria to refine large results ?	Jorge
What are the most relevant dimensions to classify on the fly a result set ?	Jorge
What features can be extracted on the fly from a score content to partition in a meaning ful way a score collection?	Jorge
Can I link digital sources to an Opus ?	Jorge
Can I refer to *fragments* of a scoree, eg., the first 10 measures, or part B of a movement ?	Jorge
Can I link fragments of sources and fragments of scores, such as for instance a measure in an Opus with a part of a reecording ?	Jorge
Can I susesimilarity criterias based on metadata and features of musical works ?	Jorge
Am I proposed the most relevant criterias, or combination of criterias, to expand an initial search ?	Jorge
In which collections/datasets does song X occur?	William
In which countries does song X occur?	William
Which compositions match with William's thematic focus for the exhibition?	William
Which composers and performers are related to these compositions?'	William
In which historical documents is composer X mentioned?	William
